transaction_id,originator_name,originator_country,originator_SIC,originator_NACE,beneficiary_name,beneficiary_country,beneficiary_SIC,beneficiary_NACE,amount,currency,pattern,date
abfb3a8b-1e38-40a7-b5f2-c8912020eee2,"Deleon, Lewis and Myers",Saint Helena,3511,D35,Golden-Fry,Solomon Islands,3511,D35,33807.85,USD,normal,2025-05-31
dd25ab80-60df-42db-bb4d-c5159bc49ff4,Soto Group,Antigua and Barbuda,6201,J62,Brown Group,Syria,4711,G47,29141.3,USD,high-risk-country,2025-07-04
3662be34-df18-4e73-b4e2-7ce5a501c5fa,Harrison PLC,Cambodia,3020,C30,"Best, Berg and Charles",Kyrgynz Republic,4920,H49,2749.3,USD,normal,2025-07-01
5c3647be-bd20-4981-a8e9-89b94a34d66b,Baxter LLC,Costa Rica,3020,C30,Baxter LLC,Anguilla,4920,H49,23965.96,USD,same-owner,2025-04-28
02504501-0478-413c-93f0-abfd520da870,"Herrera, Davis and Alexander",Sri Lanka,4711,G47,"Herrera, Davis and Alexander",Azerbaijan,8622,Q86,35091.88,USD,same-owner,2025-03-17
d4899412-2e12-46b2-a096-8a6fa40177e7,"Torres, Romero and Bell",Isle of Man,4711,G47,Bowman Group,Jordan,3511,D35,5626.92,USD,normal,2025-07-11
fbe97840-daee-46d8-b3f3-91b0958011c2,Anderson Group,Holy See (Vatican City State),0111,A01,Patterson-Guerrero,Antigua and Barbuda,8622,Q86,28288.5,USD,normal,2025-02-06
71019b1a-cf53-4483-a088-608b6e2f0bc0,"Hooper, Rodriguez and White",Bermuda,4711,G47,"Hooper, Rodriguez and White",Gabon,3020,C30,24013.97,USD,same-owner,2025-04-03
d2d34fcd-413f-454a-9692-bdb1f917a88d,Manning-Rojas,Monaco,6419,K64,Manning-Rojas,Ethiopia,4920,H49,18892.53,USD,same-owner,2025-06-27
01aeb3e9-44cb-402d-831d-5dcd63eefd50,Dunn PLC,Namibia,6201,J62,Dunn PLC,Poland,0111,A01,18819.74,USD,same-owner,2025-05-01
6768697f-758f-4d53-a41a-aefacde96d02,Taylor Ltd,Hong Kong,4920,H49,Greene-Beard,Guinea-Bissau,3020,C30,15683.39,USD,normal,2025-07-24
e3ac8285-a726-4a31-ad9c-42e5af1c5d54,Lopez-Huffman,Ethiopia,3511,D35,Swanson PLC,Chad,6201,J62,7502.09,USD,structuring,2025-07-14
ef31670b-822d-4501-a995-77d8aeac11f6,Taylor and Sons,Suriname,3020,C30,Smith-Norton,Bulgaria,4920,H49,38615.09,USD,structuring,2025-05-20
878b2f82-7ccb-4d98-8590-977b81f0dc6e,Barrett Group,Saint Helena,4920,H49,Edwards Inc,Bermuda,3511,D35,26148.65,USD,structuring,2025-07-29
51972297-aafc-4719-94f9-ce5f1014810f,"Burns, Hamilton and Young",Belize,3511,D35,Mitchell-Smith,Yemen,6419,K64,4632.06,USD,normal,2025-06-26
57270963-4d52-4d09-861c-b4330e8411f3,Wang-Hill,Zimbabwe,0111,A01,Jefferson-Warren,North Korea,3020,C30,10755.1,USD,high-risk-country,2025-06-14
80313408-4a23-4e4e-a158-f8393ae41426,"May, Mendez and Navarro",British Virgin Islands,3020,C30,Davis-Middleton,Holy See (Vatican City State),6419,K64,35672.94,USD,normal,2025-05-02
3ff61179-2524-4e18-97e4-8ad7c1edc055,Murphy-Green,Israel,3511,D35,Johnson Group,Moldova,6201,J62,34888.98,USD,normal,2025-01-25
04b5533e-8f20-4707-8444-09065448465b,"Edwards, Reid and Dickerson",Bhutan,4711,G47,Berg-Watson,Malta,0111,A01,12312.07,USD,normal,2025-07-19
a2a4120d-0c59-44a1-bd37-739704084852,Curtis-Hunter,Costa Rica,6201,J62,"Barnes, Knight and Gibson",Cameroon,3511,D35,17652.94,USD,normal,2025-04-06
22b3ff69-6f67-4d79-9c6a-4582b64e2e28,Nguyen Group,Mozambique,3020,C30,Lester Group,Philippines,0111,A01,14778.67,USD,normal,2025-06-21
6577ad95-0daa-415b-99e8-6b71839dc461,Hale-Jackson,Maldives,8622,Q86,Simpson-Robinson,Saudi Arabia,3020,C30,18308.68,USD,structuring,2025-07-31
d78bd63e-81ea-43c1-b4ae-15ed2822e200,"Martin, Barnes and Curtis",Seychelles,6201,J62,"Romero, Bartlett and Moyer",Australia,3020,C30,9777.57,USD,layering,2025-04-22
bf69e8b6-3ccb-4512-9b75-f1b2bdfad010,Hunter PLC,Panama,3020,C30,Brewer LLC,Singapore,6201,J62,25518.09,USD,structuring,2025-03-14
4c9e3648-07f3-406e-863b-5897d9104f9a,Cox-Smith,Jordan,6201,J62,"Williams, Castaneda and Lawrence",Cocos (Keeling) Islands,4711,G47,9486.49,USD,layering,2025-02-07
25091d85-b14b-4d38-adde-0776098db190,"Cochran, Hooper and Shea",Dominica,6201,J62,Harris and Sons,Hong Kong,8622,Q86,8966.78,USD,normal,2025-01-29
ff48bca8-302c-445b-bd02-60e2e8624a15,Walls-Schmidt,Seychelles,0111,A01,Perez LLC,Slovakia (Slovak Republic),4920,H49,49328.38,USD,normal,2025-07-25
2655058e-f25d-4779-b1b1-639dfaa4283c,Jenkins-Miller,Kazakhstan,0111,A01,Walls-Schmidt,Seychelles,0111,A01,40821.19,USD,normal,2025-06-04
53018178-d8b8-4533-ada7-c6ab130c2f3d,Rubio Inc,Lithuania,0111,A01,"Arellano, Weber and Bradford",Eritrea,3020,C30,10041.8,USD,normal,2025-06-29
5f068b2b-e750-48d5-bf46-57a1cab5e28b,"Daniels, Holmes and Petersen",Italy,3020,C30,"Daniels, Holmes and Petersen",Botswana,0111,A01,7068.15,USD,same-owner,2025-06-18
