Originator_Name,Originator_SIC,Beneficiary_Name,Beneficiary_SIC,Amount,Currency,Transaction ID
NovaIndustries,8610,SafeSystems,2610,106602.87,INR,TXN100001
SafeVentures,2011,MediServices,3312,337273.71,EUR,TXN100002
ByteSolutions,8610,SafeCorp,2610,230967.51,INR,TXN100003
QuantumServices,1101,QuantumVentures,2511,262442.0,USD,TXN100004
MediIndustries,2610,PrimeCorp,2610,28012.09,EUR,TXN100005
UrbanLLC,2511,NovaIndustries,8610,224739.65,INR,TXN100006
ByteGlobal,7022,QuantumHoldings,5010,405997.88,EUR,TXN100007
NovaGlobal,8121,ByteServices,0111,267901.91,EUR,TXN100008
SafeSolutions,7311,ByteGlobal,7022,131671.39,USD,TXN100009
PrimeLLC,2610,UrbanLLC,2511,257722.27,INR,TXN100010
TechIndustries,4511,SafeVentures,2011,38912.18,EUR,TXN100011
NovaGroup,1310,QuantumServices,1101,275849.32,INR,TXN100012
ByteServices,0111,SafeSolutions,7311,365793.42,EUR,TXN100013
QuantumVentures,2511,NovaGroup,1310,148888.87,USD,TXN100014
SafeSystems,2610,MediIndustries,2610,19542.96,EUR,TXN100015
PrimeCorp,2610,NovaGlobal,8121,64561.96,INR,TXN100016
SafeCorp,2610,UrbanLLC,2511,131323.89,USD,TXN100017
QuantumHoldings,5010,TechIndustries,4511,166220.52,USD,TXN100018
ByteGlobal,7022,SafeVentures,2011,201671.72,INR,TXN100019
NovaIndustries,8610,NovaIndustries,8610,331914.34,EUR,TXN100020
