Originator_Name,Originator_SIC,Beneficiary_Name,Beneficiary_SIC,Amount,Currency,Transaction ID,originator_sic,originator_industry,beneficiary_sic,beneficiary_industry,match_verdict
MediServices,3312,SafeSolutions,7311,106602.87,INR,TXN315896,3312,Machinery Repair,7311,Advertising Agencies,Mismatch
SafeCorp,2610,PrimeCorp,2610,337273.71,EUR,TXN826770,2610,Semiconductor Manufacturing,2610,Semiconductor Manufacturing,Mismatch
ByteServices,111,QuantumVentures,2511,230967.51,INR,TXN269102,111,Wheat Farming,2511,Metal Product Manufacturing,Mismatch
NovaIndustries,2011,SafeVentures,2011,262442.0,USD,TXN614650,2011,Chemical Manufacturing,2011,Chemical Manufacturing,Mismatch
NovaIndustries,2011,SafeVentures,2011,262442.0,USD,TXN614650,8610,Hospital Activities,2011,Chemical Manufacturing,Valid
SafeSystems,2610,PrimeLLC,2610,28012.09,EUR,TXN420407,2610,Semiconductor Manufacturing,2610,Semiconductor Manufacturing,Mismatch
NovaGroup,1310,NovaGlobal,8121,224739.65,INR,TXN852394,1310,Textile Manufacturing,8121,Cleaning Services,Mismatch
ByteSolutions,8610,MediIndustries,2610,405997.88,EUR,TXN596829,8610,Hospital Activities,2610,Semiconductor Manufacturing,Mismatch
QuantumServices,1101,NovaIndustries,8610,267901.91,EUR,TXN771454,1101,Beverage Production,2011,Chemical Manufacturing,Mismatch
QuantumServices,1101,NovaIndustries,8610,267901.91,EUR,TXN771454,1101,Beverage Production,8610,Hospital Activities,Mismatch
QuantumVentures,2511,UrbanLLC,2511,131671.39,USD,TXN771137,2511,Metal Product Manufacturing,2511,Metal Product Manufacturing,Mismatch
SafeSolutions,7311,ByteGlobal,7022,257722.27,INR,TXN243277,7311,Advertising Agencies,7022,Business Consulting,Valid
